Dataset,Dataset Type,Framework,Trial,F1 Score,Training Time
23,multiclass,lightwood,12,0.5166250007274747,1.7923130499998479
23,multiclass,lightwood,13,0.5240229969597116,1.8533828949998679
23,multiclass,lightwood,14,0.5297210939924861,1.5570075390000966
23,multiclass,lightwood,15,0.530372085308309,1.8086864830002014
23,multiclass,lightwood,16,0.5757255699469853,3.3296659279999403
23,multiclass,lightwood,17,0.5454830173511087,1.301208206999945
23,multiclass,lightwood,18,0.5871036226375853,1.348474953999812
23,multiclass,lightwood,19,0.5621383941865257,2.698917829000038
23,multiclass,lightwood,20,0.5645810347835473,2.272874537000007
23,multiclass,mljar,1,0.5742467282730801,25.87223600699508
23,multiclass,mljar,2,0.5450262741308061,24.975210247008363
23,multiclass,mljar,3,0.5437877940502794,23.860064216001774
23,multiclass,mljar,4,0.6039098231079681,25.415532031009207
23,multiclass,mljar,5,0.613744661625492,24.253573874011636
23,multiclass,mljar,6,0.6114252969482403,25.8156053720013
23,multiclass,mljar,7,0.6057815220218918,27.879856449988438
23,multiclass,mljar,8,0.539451280217919,25.388367036008276
23,multiclass,mljar,9,0.5589117350994051,26.342309158993885
23,multiclass,mljar,10,0.5448841598636396,24.597532335988944
23,multiclass,mljar,11,0.563658792582938,25.9117146589997
23,multiclass,mljar,12,0.6178775947502343,26.901693103995058
23,multiclass,mljar,13,0.5411372522649345,25.38880994899955
23,multiclass,mljar,14,0.52632706574311,26.820853665005416
23,multiclass,mljar,15,0.5643786470999176,26.100351794011658
23,multiclass,mljar,16,0.5359151422900709,27.175742114006425
23,multiclass,mljar,17,0.57052358483842,26.053447211990715
23,multiclass,mljar,18,0.5642788629564418,27.50388680600736
23,multiclass,mljar,19,0.5328007471525277,24.398907055001473
23,multiclass,mljar,20,0.5518454052429762,24.75378930399893
23,multiclass,naive,1,0.5841819612248838,293.70016713099903
23,multiclass,naive,2,0.5735962529340535,291.42325178299507
23,multiclass,naive,3,0.5018913816075156,296.4859730790049
23,multiclass,naive,4,0.5954593404414992,133.51780800300185
23,multiclass,pycaret,1,0.5635515939437172,8.22988940961659
23,multiclass,pycaret,2,0.5442909806986284,7.862632820382714
23,multiclass,pycaret,3,0.5220145453669359,8.000379067845643
23,multiclass,pycaret,4,0.5954593404414992,8.040346570312977
23,multiclass,pycaret,5,0.567175500036097,7.959513086825609
23,multiclass,pycaret,6,0.5993305466496973,7.856425437144935
23,multiclass,pycaret,7,0.6069286874006776,7.920653689652681
23,multiclass,pycaret,8,0.519846611907272,7.920635482296348
23,multiclass,pycaret,9,0.5427375144098358,8.04649038799107
23,multiclass,pycaret,10,0.49392700364477693,7.964029239490628
23,multiclass,pycaret,11,0.5118735186911649,8.105970865115523
23,multiclass,pycaret,12,0.616920639949311,7.966184474527836
23,multiclass,pycaret,13,0.5635284549488312,8.0538435485214
23,multiclass,pycaret,14,0.5432055898968458,8.112019329331815
23,multiclass,pycaret,15,0.5533626802224806,8.137455184012651
23,multiclass,pycaret,16,0.5689357741937269,8.175961608067155
23,multiclass,pycaret,17,0.5509663720417717,8.150194610469043
23,multiclass,pycaret,18,0.6187090426420628,8.028237720020115
23,multiclass,pycaret,19,0.545643587698274,8.188406846486032
23,multiclass,pycaret,20,0.6024003136445585,8.100781232118607
23,multiclass,tpot,1,0.5728601547432669,306.9809866580181
23,multiclass,tpot,2,0.5293708775152376,307.16260522796074
23,multiclass,tpot,3,0.519397705184008,360.34198472998105
23,multiclass,tpot,4,0.6132805569281993,301.03288369701477
23,multiclass,tpot,5,0.585433165672709,353.22116401902167
23,multiclass,tpot,6,0.6029008872338232,306.1025462350226
23,multiclass,tpot,7,0.5864391909018707,304.03338263195474
23,multiclass,tpot,8,0.5269202602314395,314.6069022240117
23,multiclass,tpot,9,0.5411943390521646,305.736798352038
23,multiclass,tpot,10,0.5558731381612738,351.47849963296903
23,multiclass,tpot,11,0.5309349890585711,306.8589867450064
23,multiclass,tpot,12,0.6094869401457463,304.06625393399736
23,multiclass,tpot,13,0.5289358975989761,305.2094267960056
23,multiclass,tpot,14,0.5471423775823049,305.07778474199586
